name,location,cords,des
Boudhanath Stupa,"Bagmati, Kathmandu","[27.7215, 85.362]",Bouddhanath stupa is the most liked sightseeing place in Kathmandu. Visitors are required to pay NRs. 250(Foreign Nationals) NRs. 50 (SAARC Nationals) NRs. 250 (Chinese) per person (Below 10 years free) as entrance fees to the Bouddhanath. A lot of Tibetan people reside around the Stupa. And it is very famous and holy place specially of Buddhists People. It is one of the most popular world heritage site of Nepal. Breakfree Adventures offer Bouddhanath Private Sightseeing Day Tours.
Swayambhunath Temple,"P77R+X4G, BHAGANPAU 44600","[27.7149, 85.2903]","Swayambhunath is a glorious ancient religious architecture, located in the middle of Kathmandu city. It is center of faith of both Buddhist and Hindus."
Pashupatinath Temple,"Gaushala Road, Kathmandu 44600","[27.7104, 85.3487]","This temple was classified as a World Heritage Site in 1979. This 'extensive Hindu temple precinct' is a 'sprawling collection of temples, ashrams, images and inscriptions raised over the centuries along the banks of the sacred Bagmati river', and is one of seven monument groups in UNESCO's designation of Kathmandu Valley."
Chandragiri Hills,"Chandragiri, Kathmandu","[27.6672, 85.2058]","Chandragiri Hill is seven kilometres from Thankot, and lies on the south-west side of Kathmandu Valley which is 2551 metres above sea level. The hill provides panoramic views of Kathmandu Valley and the Himalayan ranges from Annapurna to Everest."
Kopan Monastery,Kopan Monastery Budhanilkantha Municipality Ward 11,"[27.7425, 85.3644]","Hundreds of monks and nuns live at this monastery, which offers meditation courses year round."
Thamel,"Bagmati, Kathmandu 44600","[27.7154, 85.3123]","A buzzing, visitor-friendly area, Thamel is the city’s main nightlife zone. Bars blast out live music by cover bands, and lively eateries serve Nepalese and international dishes. Designed in 1920, the stately Garden of Dreams is dotted with pavilions, fountains, and urns. Markets and stores sell metal handicrafts, colorful jewelry, and trekking gear, while pedestrianized Mandala Street has upmarket shops and spas."
Garden of Dreams,"P877+MR2, Tridevi Sadak, Kathmandu 44600","[27.7141, 85.3145]","The Garden of Dreams, a neo classical historical garden, is situated in the midst of Kathmandu city, Nepal. The Garden's design has much in common with formal European gardens: paved perimeter paths, punctuated by pavilions, trellises, and various planting areas, surrounded by a sunken flower garden with a large pond at its center. It is an architectural landscape that encourages the visitor to stroll around and discover the Garden's treasures from many different vantage points."
Namo Buddha (Stupa),"Buddha Stupa, Boudhanath Sadak","[27.5698, 85.5824]","Namobudha is one of the most important religious sites of the Buddhists after Kathmandu's, Swyambhunath and Bouddhanath. It is located on a picturesque hill, 45 km along Banepa, Panauti route. The religiously important Namobuddha, surrounded by serene environment and green hills, is gaining fame as an important Buddhist pilgrimage site. The site is also gaining reputation as a tourist destination and more and more foreign tourists reach the place every year. Huge festival is organized here on the full moon day of Basisakh (May). the Birthday of Lord Buddha. Thousands of devotees both Buddhist and Hindu gather here for the festival. Tourist are also attracted to the artistic monasteries and the idol of 'Sacrifice to the Tigress' located around the hilltop famous for viewing sunrise and sunset."
Kathmandu Durbar Square,"J P Marg, Kathmandu 44600","[27.7042, 85.3067]","Kathmandu Durbar Square is located in front of the old royal palace of the former Kathmandu Kingdom and is one of three Durbar Squares in the Kathmandu Valley in Nepal, all of which are UNESCO World Heritage Sites. Several buildings in the Square collapsed due to a major earthquake on 25 April 2015."
Shivapuri Nagarjun National Park,"Panimuhan Budanilkantha, Kathmandu, Nepal","[27.8129, 85.3859]","Shivapuri Nagarjun National Park is the ninth national park in Nepal and was established in 2002. It is located in the country's mid-hills on the northern fringe of the Kathmandu Valley and named after Shivapuri Peak of 2,732 m altitude. "
Kailashnath Mahadev,"Sanga, Suryabinayak 44800","[27.6461, 85.4743]","Kailashnath Mahadev Statue is the tallest Shiva statue in the world. It is also the second tallest Hindu deity statue after Garuda Wisnu Kencana Statue in Bali, Indonesia. It is situated in Sanga, Kavrepalanchok District in Nepal, about 20 km from Kathmandu."
Dakshinkali Temple,"J747+29X, Pharping-Kulekhani Road, Dakshinkali 44600","[27.6051, 85.2635]","Dakshinkali Temple, also Dakshin Kali Temple or Dakshina Kali Temple, located 22 kilometres outside Kathmandu and about 1 kilometre outside the village of Pharping, is one of the major Hindu temples in Nepal dedicated to the goddess Kali."
Budhanilkantha,"Bagmati, Kathmandu 44600","[27.7654, 85.3653]","Budhanilkantha is a sprawling suburb that stretches into Shivapuri Nagarjun National Park, a forested area home to leopards, monkeys, and bears, plus many species of local and migratory birds. At Bhuijasi Narayan Temple, a black basalt carving of the Hindu god Vishnu, draped in marigolds and reclining on a bed of serpents, lies in a small pond. ISKCON Nepal temple offers spiritual sessions and classes."
